team_id,blk_pct,drb_pct,pace,ts_pct,def_rtg,game_location,date_game,ft_rate,tov_pct,x,fg3a_per_fga_pct,pts,game_result,fta_per_fga_pct,ast_pct,orb_pct,trb_pct,game_season,off_rtg,stl_pct,efg_pct
BOS,10.1,57.8,92.0,.552,101.1,@,2013-10-30,.303,21.8,,.197,87,L,.439,46.9,19.4,40.7,1,94.5,10.9,.508
BOS,10.1,66.7,88.0,.528,119.3,,2013-11-01,.342,15.5,,.211,98,L,.500,38.2,42.9,55.9,2,111.3,5.7,.474
BOS,4.8,65.9,93.1,.486,93.5,@,2013-11-03,.162,23.2,,.216,77,L,.162,48.4,21.6,45.7,3,82.7,16.1,.439
BOS,10.2,75.7,92.5,.565,102.7,@,2013-11-04,.214,21.2,,.286,88,L,.257,42.4,12.9,47.1,4,95.1,9.7,.521
BOS,5.7,74.4,97.1,.510,89.6,,2013-11-06,.112,13.6,,.225,97,W,.157,55.0,24.4,50.0,5,99.9,5.1,.489
BOS,7.9,66.0,95.9,.427,92.8,@,2013-11-08,.221,9.4,,.147,91,W,.274,55.9,32.2,47.2,6,94.9,11.5,.368
BOS,8.2,87.5,92.5,.589,118.9,@,2013-11-09,.101,12.9,,.236,111,W,.135,52.2,28.9,55.7,7,120.0,4.3,.573
BOS,10.4,66.7,96.7,.655,108.6,,2013-11-11,.153,14.1,,.141,120,W,.176,54.9,25.8,49.3,8,124.1,11.4,.629
BOS,2.9,74.5,91.5,.472,97.2,,2013-11-13,.234,14.6,,.273,83,L,.325,51.7,20.8,47.4,9,90.7,5.5,.422
BOS,7.1,78.9,99.3,.537,109.8,,2013-11-15,.185,14.4,,.222,96,L,.235,45.9,9.3,42.0,10,96.7,8.1,.500
BOS,11.3,68.6,97.9,.468,108.3,@,2013-11-16,.174,19.0,,.209,88,L,.209,41.2,30.6,50.0,11,89.9,6.1,.424
BOS,5.9,80.6,96.3,.394,113.1,@,2013-11-19,.141,10.0,,.202,85,L,.202,50.0,30.0,47.3,12,88.2,10.4,.359
BOS,5.0,82.9,95.6,.509,108.7,@,2013-11-20,.128,15.7,,.174,93,L,.140,46.2,22.7,51.8,13,97.2,4.2,.477
BOS,1.6,63.4,88.5,.562,109.5,,2013-11-22,.101,24.0,,.159,82,L,.130,31.4,16.1,43.1,14,92.6,9.0,.543
BOS,9.6,76.9,93.6,.549,92.9,@,2013-11-23,.333,18.2,,.222,94,W,.431,54.5,21.2,55.3,15,100.4,3.2,.486
BOS,7.7,75.7,87.6,.538,98.2,@,2013-11-25,.213,11.9,,.250,96,W,.263,62.9,28.2,51.3,16,109.6,9.1,.494
BOS,9.9,76.3,89.8,.491,111.4,,2013-11-27,.112,13.7,,.225,93,L,.146,36.8,34.7,52.9,17,103.6,1.1,.466
BOS,10.3,75.0,98.6,.589,87.2,,2013-11-29,.211,17.1,,.303,103,W,.342,68.4,21.1,52.2,18,104.5,8.1,.572
BOS,3.3,73.8,88.2,.469,104.4,@,2013-11-30,.131,9.9,,.226,85,L,.179,48.6,20.8,45.6,19,96.4,7.9,.440
BOS,6.7,78.4,91.0,.608,109.9,,2013-12-03,.273,14.4,,.312,108,W,.351,52.6,30.6,54.8,20,118.7,7.7,.565
BOS,10.0,64.3,87.4,.583,112.1,,2013-12-06,.169,9.9,,.241,106,W,.217,58.1,27.0,46.8,21,121.3,5.7,.554
BOS,5.3,90.7,92.3,.680,79.0,@,2013-12-08,.306,17.7,,.347,114,W,.375,56.4,24.1,63.9,22,123.4,9.7,.639
BOS,1.7,75.8,88.3,.538,117.8,@,2013-12-10,.188,11.0,,.275,96,L,.263,40.0,22.7,45.5,23,108.7,9.1,.506
BOS,8.5,80.0,93.7,.498,102.5,,2013-12-11,.200,16.1,,.213,88,L,.238,60.6,21.6,51.9,24,93.9,5.3,.450
BOS,8.5,80.0,86.0,.570,100.1,,2013-12-13,.250,16.8,,.309,90,W,.368,51.5,17.1,52.5,25,104.7,1.2,.537
